Acronym,Definition,Meaning,Department,Team/Area
ABA,Anti-Bullying Alliance,"Founded in 2002 by the NSPCC and National Children's Bureau, the Anti-Bullying Alliance (ABA) brings together organisations into one network to stop bullying and create safe environments for children. Source: {Anti-bullying Alliance|http://www.anti-bullyingalliance.org.uk/about-us.aspx} accessed 2015-06-02",DfE,
ABC,Acceptable Behaviour Contracts,"This is a written agreement between the person who has been causing the problems and their local council or police. These contracts are designed to give those involved the chance to acknowledge their actions, and to take responsibility for the impact they've had on others.Source: Directgov website as at 2012-05-08",DfE,
ABCD,Asset Based Community Development,A mechanism for community development through a focus on recognising and mobilising under-valued community assets. ,,
ABE,Adult Basic Education,Source: The Knowledge accessed 2019-06-03,DfE,
ABP ,Annual Business Plan,,DLUHC,
ABPI,Association of the British Pharmaceutical Industry,,BEIS,UK Vaccines Taskforce
AC,Accelerated Construction Fund,See LAAC,DLUHC,
AC (analytical),Analytical Community,Term used to describe the whole analytical community.,DfE,
AC (audit),Audit Commission,"A public corporation set up in 1983 to protect the public purse. It appointed auditors to councils, NHS bodies (excluding NHS foundation trusts), local police bodies and other local public services in England, and oversees their work. The Local Audit and Accountability Act 2014 made it possible for the Audit Commission to close, in line with Government expectations, on 31 March 2015, 30 years after it was established. Several of the Commission's functions will continue after its closure.Source: {Audit Commission|http://www.audit-commission.gov.uk/about-us/the-future-of-the-audit-commissions-functions/} accessed 2015-06-02",DfE,
ACAB,National Association of Citizens Advice Bureaux,,DfE,
Acas,"Advisory, Conciliation and Arbitration Service",(Note: only an initial cap.) Aims to prevent and resolve employment disputes prior to employment tribunals.,MoJ,
ACC,Association of County Councils,,DfE,
ACCAC,Qualifications Curriculum and Assessment Authority for Wales,Source: The Knowledge accessed 2019-06-03,DfE,
ACCT,"Assessment, care in custody and teamwork self-harm monitoring documentation",,MoJ,
ACE,Arts Council England,"DCMS ALB, investing in arts and culture",DCMS,Department-wide
ACE (childhood),Adverse Childhood Experiences,Source: {GOV.UK|https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/755135/Mental_health_and_behaviour_in_schools__.pdf} accessed 2019-08-15,DfE,
ACE (communication),Aiding Communication in Education,Source: The Knowledge accessed 2019-06-03,DfE,
ACEG,Association for Careers and Education Guidance,"The Association for Careers and Education Guidance (ACEG) is an independent organisation for people involved in the management and delivery of careers education and guidance for young people in the UK. Their key purpose is to promote excellence and innovation in careers education and Information, Advice and Guidance (IAG) for all young people. ",DfE,
ACEO,Association of Chief Education Officers,Association of Chief Education Officers merged with the Society of Education Officers and the Society of Chief Inspectors and Advisers to form the Confederation of Education Service Managers (ConfEd). Source This page was created by the Library. Education Journal issue 63 2002Source: The Knowledge accessed 2019-06-03,DfE,
ACERT,Advisory Council for the Education of Romany and other Travellers,,DfE,
ACFHE,Association of Colleges of Further and Higher Education,,DfE,
ACG,Annual Capital Guidelines,,DfE,
ACL,Adult and Community Learning,Source: The Knowledge accessed 2019-06-03,DfE,
ACL,Access Control List,,MoJ,
ACLF,Adult and Community Learning Fund,1998-2004. Supported community-based learning activities for adults.,DfE,
ACM,Association for College Management,,DfE,
ACME,Advisory Committee on Mathematics Education,"The Advisory Committee on Mathematics Education (ACME) is an independent committee, based at the Royal Society and operating under its auspices, that aims to influence Government strategy and policies with a view to improving the outcomes of mathematics teaching and learning in England and so secure a mathematically enabled population. ACME was established in January 2002, by the Royal Society and the Joint Mathematical Council of the UK with the explicit backing of all major mathematics organisations, and is supported by the Gatsby Charitable Foundation. Links/Further Information ACME website: www.acme-uk.orgSource: The Knowledge accessed 2019-06-03",DfE,
ACPC,Area Child Protection Committee,"Local Authorities in England and Wales, in exercising their social services functions, were under a requirement to ensure that there was an Area Child Protection Committee (ACPC) covering their area, which brought together representatives of each of the main agencies and professionals responsible for helping to protect children from abuse and neglect. In England, ACPCs were replaced from April 2006 with statutory Local Safeguarding Children Boards (LSCBs). In Wales the transition to LSCBs occurred later.Source: The Knowledge accessed 2019-06-03",DfE,
ACPO,Area Child Protection Officer,Source: The Knowledge accessed 2019-06-03,DfE,
ACPO,Association of Chief Police Officers,,MoJ,
ACQ,"Accountability, Curriculum and Qualifications",,DfE,
ACRA,Association of College Registrars and Administrators,,DfE,
ACS,Average Class Size,Source: The Knowledge accessed 2019-05-30,DfE,
ACS,Accountable Care Systems,"System of healthcare provision which is intended to be integrated. In particular, to merge the funding of primary care with that for hospital care",NHSx,Org Wide
ACSES,Annual Civil Service Employment Survey,,Civil Service Wide,
ACSET,Advisory Committee on the Supply and Education of Teachers,,DfE,
ACSTT,Advisory Council on the Supply and Training of Teachers,1953-1965,DfE,
ACT,Action for Covid-19 Tools Accelerator,"ACT brings together the WHO and leading international partners to maximise access of new vaccines, treatments and tests for everyone, as quickly as possible. Industry is an essential partner and will play an important role in the work of the ACT-Accelerator.",BEIS,UK Vaccines Taskforce
ACTOR,Approved College and Training Organisation Register,,DfE,
ACVT,Advisory Committee for Vocational Training,Source: The Knowledge accessed 2019-06-03,DfE,
AD,Active Directory,,MoJ,
ADA,Architecture Design Authority,,Defra,Major Projects & Digital Delivery 
ADA,Added Days Awarded,Days that are added to an offenders release date following an adjudication,MoJ,
ADB,Apprenticeship Delivery Board,"The Apprenticeship Delivery Board (ADB) will advise on expanding apprenticeships nationally, and will aim to increase the number of apprenticeship places that employers offer in both the public and private sector. The Apprenticeship Delivery Board advises on how best to expand apprenticeships nationally and will play an active part in supporting the delivery of this. Source: {GOV.UK|https://www.gov.uk/government/groups/apprenticeship-delivery-board} accessed 2018-01-17",DfE,
ADCN,Apprenticeship Diversity Champions Network,"The Apprenticeship Diversity Champions Network (ADCN) champions apprenticeships and diversity amongst employers and encourages more people from underrepresented groups, including those with disabilities, women and members of the black, Asian and minority ethnic (BAME) communities, to consider apprenticeships. The network supports the government's commitment to increase the proportion of apprenticeship starts by people from BAME backgrounds by 20% by 2020.Source: {GOV.UK|https://www.gov.uk/government/groups/apprenticeship-diversity-champions-network} accessed 2018-01-18",DfE,
ADCS,Association of Directors of Children's Services,The Association of Directors of Children's Services Ltd (ADCS) is the national leadership association in England for statutory directors of children's services and their senior management teams.Source: {ADCS website|http://www.adcs.org.uk/about-us/index.html} accessed 2015-06-02,DfE,
ADD,Attention deficit disorder,,DfE,
ADD ,Analysis and Data Division,,DLUHC,
ADF,Azure Data Factory,,Not Limited to CS,DDaT
ADHD,Attention deficit hyperactivity disorder,"Attention deficit hyperactivity disorder (ADHD) is a group of behavioural symptoms that include inattentiveness, hyperactivity and impulsiveness. Attention deficit disorder (ADD) is a type of ADHD.Source: {NHS|http://www.nhs.uk/Conditions/Attention-deficit-hyperactivity-disorder/Pages/Introduction.aspx} accessed 2015-06-02",DfE,
ADI,Application Desktop Integrator,"Spreadsheet containing total disbursement of a prison, sent from business hub to regional accounts team.#moneyToPrisoners",MoJ,
ADII,"Architecture, Data, Information, Innovation",,Defra,Major Projects & Digital Delivery 
Admin 4 database,,An Excel file that has Police Station & Mags Court schemes on,MoJ,
ADP,Advocate Defence Payments,One of our projects for the Legal Aid Agency. where advocates (solicitors) can submit invoices for work done for legal aid work.Used to be known as CBO/Crime Billing Online,MoJ,
ADP,Azure Data Platform,,Not Limited to CS,DDaT
ADPO,,,MoJ,
ADR,Alternative dispute resolution,Method to solve a dispute with the help of a third party.,HMCTS,
ADR,Alternative dispute resolution,,MoJ,
ADR,Architectural design record,,MoJ,
ADR UK,Administrative Data Research UK,"ADR UK (Administrative Data Research UK) is a partnership transforming the way researchers access the UK's wealth of public sector data, to enable better informed policy decisions that improve people's lives.Source: ADR UK website accessed 2021-03-30",DfE,
ADS,Advice Direct Scotland,,Not Limited to CS,
AE (civil service grade),Assistant Economists,,Civil Service Wide,
AE (education),Adult education,,DfE,
AEB (board),Associated Examining Board,Source: The Knowledge accessed 2019-06-03,DfE,
AEB (budget),Adult education budget,,DfE,
AEC,Association of Education Committees,Source: The Knowledge accessed 2019-06-03,DfE,
AED,All Education Dataset,"Refers to the pooling of all post MoG (2016) holdings of FE, HE and Schools data. Distinct from linked NPD by not restricting age and that it is the educational element underpinning LEO.Source: Data Directorate 2019-08-01",DfE,
AEF,Aggregate External Finance,"Source: Department for Education and Employment and Office for Standards in Education., (1999). Departmental Report: The Government's Expenditure Plans 1999-00 to 2001-02 Cm 4202. London: The Stationery Office [ISBN: 0101421923]",DfE,
AELP,Association of Employment and Learning Providers,"The Association of Employment and Learning Providers (AELP) is the national trade association representing providers involved in skills and employment delivery, responding to the needs of employers, learners and the local communities. One voice, making a difference. AELP members deliver the majority of Apprenticeships, Traineeships, English and maths in the workplace and programmes for the unemployed including the Work Programme.Source: {AELP|https://www.aelp.org.uk/} accessed 2017-02-16",DfE,
AEN,Additional Educational Needs,Source: The Knowledge accessed 2019-06-03,DfE,
AEP,Association of Educational Psychologists,,DfE,
AEP,Accelerated Encryption Processing,,MoJ,
AET,Autism Education Trust,The Autism Education Trust helps to ensure that autistic children and young people receive an education that enables them to fulfil their aspirations and engage in society as active citizens.Source: {Autism Education Trust|https://www.autismeducationtrust.org.uk/} accessed 2020-08-19,DfE,
AF,Admissions Forum,Source: The Knowledge accessed 2019-06-03,DfE,
AFET,Anne Frank Educational Trust,,DfE,
AFF,Alternative Funding Formula,Source: The Knowledge accessed 2019-06-03,DfE,
AFK,Away From Keyboard,,MoJ,
AfL,Assessment for Learning,"Aimed to support schools in developing their assessment of pupils, to enhance learning and improve the rate of pupil progression. ",DfE,
AFNCCF,Anna Freud National Centre for Children and Families,,DfE,
AFPC,Apply for Pension Credit,,,
AFRD (departmental organisational unit),Accountability and Flexible Resource Division,Year(s) active (where known): ?-2019,DfE,
AGB,Architecture governance board,,Defra,Major Projects & Digital Delivery 
AGBIS,Association of Governing Bodies of Independent Schools,"In the early 1940s the governing bodies of boys' and girls' public schools formed two associations. Their objects were to advance education in the independent sector by discussing matters of policy and practice, giving advice to schools in membership, considering their relationships with the wider educational community, and taking action as necessary in the interests of their members.Source: {AGBIS website|https://www.agbis.org.uk/about-us/origins/} accessed 2019-06-04",DfE,
AGCAS,Association of Graduate Careers Advisory Services,"AGCAS is the expert membership organisation for higher education student career development and graduate employment professionals. Through our members, we support the best possible career outcomes from higher education for individuals, institutions, society and the economy.Source: {AGCAS website|https://www.agcas.org.uk/About-AGCAS} accessed 2019-06-04",DfE,
AGE,Apprenticeship Grant for Employers,"The Apprenticeship Grant for Employers (AGE) ran from January-March 2010. It was intended to encourage employers, especially SMEs, to take on young people aged 16 and 17 as apprentices, by offering a Â£2,500 grant for each new recruit. It achieved its aim of securing 5,000 additional Apprenticeship places for the target group in the timescale. Source: The Knowledge accessed 2019-06-03",DfE,
AGFS,Advocate Gradual Fees Scheme,Fee scheme available to Barristers who work on Crown Court cases,MoJ,
AGIT,Action for Governors Information and Training,Source: The Knowledge accessed 2019-06-03,DfE,
AGO,Attorney General's Office,,MoJ,
AHDC,Aiming High for Disabled Children,"Aiming High for Disabled Children (AHDC), announced in 2007, was the transformation programme for services for disabled children and their families in England from 2008-2011.",DfE,
AHOD,All Hands On Deck,Urgent action required by all team/organisation members regardless of role/grade,,
AHP,Affordable Homes Programme,"The Affordable Homes Programme (AHP) 2021-2026 will be worth £11.5bn and will fund up to 180,000 homes “should economic conditions allow”.",DLUHC,
AHRB,Arts and Humanities Research Board,"Source: Department for Education and Employment and Office for Standards in Education., (1999). Departmental Report: The Government's Expenditure Plans 1999-00 to 2001-02 Cm 4202. London: The Stationery Office [ISBN: 0101421923]",DfE,
AHRC,Arts and Humanities Research Council,"The AHRC is a non-departmental public body sponsored by the Department for Business, Innovation and Skills, along with the other UK Research Councils. The AHRC is governed by its Council, which is responsible for its overall strategic direction, and we are incorporated by Royal Charter.Source: {AHRC|http://www.ahrc.ac.uk/about/} accessed 2016-07-20",DfE,
AHRO,,,,
AHT,Adopted Housing Target,,DLUHC,
AHUA,Association of Heads of University Administration,,DfE,
AICE,Advanced International Certificate of Education,"Advanced International Certificate of Education (AICE) is an academic 2-year program (similar to an A Level) taken between the age of 16 and 18 where students concentrate on two or three subjects while maintaining an incorporated international focus. Successful exam scores in 5 subjects after the 2-year period awards a group certificate, with designated marks of pass, merit or distinction.Source: The Knowledge accessed 2019-06-03",DfE,
AIDS,Acquired Immune Deficiency Syndrome,,Not Limited to CS,
AIS,Acceptance Into Service,,MoJ,
AJTC,Administrative Justice Tribunals Council,,MoJ,
AL,Annual Leave,,Civil Service Wide,
AL (civil service grade),Assistant Librarian,,Civil Service Wide,
ALA,Association of London Authorities,,DfE,
ALB,Arm's length body,"Non-departmental bodies, executive agencies or non-ministerial departments in government",Civil Service Wide,
ALBSU,Adult Literacy and Basic Skills Unit,"The Adult Literacy and Basic Skills Unit (formerly the Adult Literacy Unit and Adult Literacy Resource Agency) was a government-funded unit of NIACE, which remained in London when NIACE moved to Leicester. It became independent in 1990 as the Basic Skills Agency. In 2007, NIACE and the BSA merged together as one organisation.Source: {Learning and Work Institute website|https://www.learningandwork.org.uk/about-us/our-history/} accessed 2019-06-14",DfE,
ALF,Average Level of Funding,Source: The Knowledge accessed 2019-06-03,DfE,
Alfresco,A document management system. Used by the courts,,MoJ,
ALG,Adult Learning Grants,"Rolled out in 2006-07/unknown. Provided a weekly maintenance allowance for adults on low incomes studying for a wide range of qualifications, including BTECs, NVQs, GSCEs and A-levels.Source: {GOV.UK|https://www.gov.uk/grant-bursary-adult-learners} accessed 2015-06-02",DfE,
ALI,Adult Learning Inspectorate,"The Adult Learning Inspectorate (ALI) was a non-departmental public body established under the Learning and Skills Act 2000. It became part of Ofsted in April 2007. In December 2005 the Government announced the merger of the Adult Learning Inspectorate with Ofsted, the children's social care remit of the Commission for Social Care Inspection (CSCI), and other organisations concerned with child protection.",DfE,
ALIS,A Level Information Service,Source: The Knowledge accessed 2019-06-04,DfE,
ALL,Advanced Learner Loans,You can apply for an Advanced Learner Loan to help with the costs of a course at a college or training provider in England. Loan eligibility doesn't depend on your income and there are no credit checks.Source: {GOV.UK|https://www.gov.uk/advanced-learner-loan/overview} accessed 2016-07-19,DfE,
ALP,Association of Learning Providers,,DfE,
ALP,Agent-led process,A process with manual steps for an agent (staff) user to complete – usually in a PDF – in lieu of a digital service,DWP,Operations / digital
ALR,Adult Learner Responsive,"One of three demand-led funding models used to calculate funding by the LSC, the Adult Learner Responsive model covers learners on eligible provision who are aged 19 or over on the 31st august of the funding year in which they start a specific episode of learning.Source: {The National Archives|https://webarchive.nationalarchives.gov.uk/20140104143508/http://www.thedataservice.org.uk/datadictionary/businessdefinitions/Adult_Learner_Resp_Business_def.htm} accessed 2019-06-12",DfE,
ALRU,Adult Literacy Resource Unit,"The Adult Literacy and Basic Skills Unit (formerly the Adult Literacy Unit and Adult Literacy Resource Agency) was a government-funded unit of NIACE, which remained in London when NIACE moved to Leicester. It became independent in 1990 as the Basic Skills Agency. In 2007, NIACE and the BSA merged together as one organisation.Source: {Learning and Work Institute website|https://www.learningandwork.org.uk/about-us/our-history/} accessed 2019-06-14",DfE,
ALS,Action Learning Set,,Civil Service Wide,
ALS (learning),Additional learning support,,DfE,
ALS (literacy),Additional Literacy Support,,DfE,
ALT,Association for Learning Technology,"The Association for Learning Technology (ALT) represents individual and organisational members from all sectors and parts of the UK. Our membership includes practitioners, researchers and policy makers with an interest in Learning Technology. Our community grows more diverse as Learning Technology has become recognised as a fundamental part of learning, teaching and assessment. Our charitable objective is ""to advance education through increasing, exploring and disseminating knowledge in the field of Learning Technology for the benefit of the general public"". We have led professionalisation in Learning Technology since 1993.Source: {ALT website|https://www.alt.ac.uk/} accessed 2019-06-04",DfE,
AM,Activity Manager,,Cabinet Office,Fast Stream
AMA (accelerated),Accelerated Modern Apprenticeships,,DfE,
AMA (advanced),Advanced Modern Apprenticeships,,DfE,
AMA (authorities),Association of Metropolitan Authorities,Merged with the Association of County Councils and the Association of District Councils to form the Local Government Association.Source: {NBS website (supported by the RIBA)|https://www.thenbs.com/PublicationIndex/documents?Pub=AMA} accessed 2019-06-04,DfE,
AMC,Advanced Market Commitment,,BEIS,UK Vaccines Taskforce
AMCS,A Modern Civil Service,"The new vision for the civil service, replacing A Brilliant Civil Service",Civil Service Wide,
AME,Annually Managed Expenditure,"The element of public expenditure for which multi-year spending limits are not appropriate, and which is instead subject to annual review.Source: Department for Education and Skills., (2003). Departmental Report 2003 Cm 5902. London: The Stationery Office [ISBN: 0101590229]Source: The Knowledge accessed 2019-06-03",Civil Service Wide,
AME,Annually Managed Expenditure,See RAME,DLUHC,
AMG,Annual Maintenance Grant,Source: The Knowledge accessed 2019-06-03,DfE,
AMGB,Account Management Governance Board,,DfE,
AMI,Amazon Machine Image,,,
AMSD (departmental organisational unit),Academies and Maintained Schools Directorate,Year(s) active (where known): 2018-,DfE,
AMSG (departmental organisational unit),Academies and Maintained Schools Group,Year(s) active (where known): 2017-2018,DfE,
AMSP,Advanced Mathematics Support Programme,"The Advanced Mathematics Support Programme (AMSP) is a government-funded initiative, managed by MEI, which aims to increase participation in AS/A level Mathematics and Further Mathematics, and Core Maths, and improve the teaching of these level 3 maths qualifications accessed: 2021-03-01",DfE,
AMSUK,Association of Muslim Schools UK,,DfE,
Any published data has to meet the requirements of the Data Protection Act,so for example the Department does not publish data that could identify an individual. However,analysis of the individual pupil records from PLASC,DfE,
AO,Administrative Officer,Grade with in the UK Civil Service,Civil Service Wide,
AO,Accounting Officer,"The personal accountability of the Accounting Officer forms the foundation of Parliament's ability to hold the Executive to account for public spending. Ministers are answerable to Parliament for policy decisions and the actions of the departments and their executive agencies. The Accounting Officer, normally the Permanent Secretary in the department, is personally responsible for the regularity and propriety of expenditure, robust evaluation of different mechanisms for delivering
policy objectives, value for money, the management of risk, and accurate accounting for the use of resources.",Civil Service Wide,
AO,Accommodation and Occupancy (also known as A&O),,,
AO (adjudication),Adjudication Officers,"Source: Department for Education and Employment and Office for Standards in Education., (1998). Departmental Report: The Government's Expenditure Plans for 1998-99 Cm 3910. London: The Stationery Office [ISBN 0101391021]",DfE,
AO (awarding),Awarding organisations,,DfE,
AO (initial teacher training),Assessment only (route to qualified teacher status),"If you're an experienced teacher with a degree, you can achieve qualified teacher status (QTS) without having to do any further training. Assessment Only allows you to demonstrate that you already meet all of the standards for QTS. To achieve QTS via the AO route, you'll need to present detailed evidence that you meet the standards. Your teaching will be assessed in a school by an accredited and approved AO provider.",DfE,
AO/AA,Administrative Office/Administrative Assistant,A Grade within the Civil Service,Civil Service Wide,
AOB,Any Other Business,,,
AOB ,Any Other Business,,Not Limited to CS,
AoC,Association of Colleges,The AoC was responsible for administering the Beacon awards.Source: The Knowledge accessed 2019-06-04,DfE,
AOD,Application Overview Document,,DfE,
AOF,Animal Origin Free,,BEIS,UK Vaccines Taskforce
AoMRC,Academy of Medical Royal Colleges,The Academy of Medical Royal Colleges is the coordinating body for the United Kingdom and Ireland's 24 Medical Royal Colleges and Faculties,DHSC,
AONB,Area of Outstanding Natural Beauty,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/576427/161129_Appraisal_Guidance.pdf,DLUHC,
AOP,All Other Pupils,,DfE,
AP,Alternative provision,"Education outside of school, when it is arranged by LAs or schools, is called alternative provision. It can range from pupil referral units (PRUs) and further education colleges to voluntary or private sector projects.Source: DfE website as at 2012-05-08",DfE,
AP,Approved Premises,,,
AP (associate),Associate Pool,,DfE,
APA,Asset Protection Agency,,APA,
APA,Advanced Purchase Agreement,,BEIS,UK Vaccines Taskforce
APA (Ofsted),Annual Performance Assessment (Ofsted),"Annual Performance Assessment (APA) is an annual process undertaken by Ofsted (and, until 2006, by CSCI) to provide a performance rating for each local authority children's services. It also assesses capacity to improve services and identifies strengths and weaknesses, and acts as a risk assessment to focus any future Joint Area Review inspection. The APA performance rating forms the children and young people's services block of the Audit Commission's annual Comprehensive Performance Assessment of Local Authorities (LA).",DfE,
APA (performance),Annual Performance Agreement,"Source: Department for Education and Employment and Office for Standards in Education., (1998). Departmental Report: The Government's Expenditure Plans for 1998-99 Cm 3910. London: The Stationery Office [ISBN 0101391021]",DfE,
APAD,Appeals against Admissions,System used to collect data on people appealing against admissions (school preference etc.),DfE,
APCC,Association of Police & Crime Commissioners,,Home Office,
APD,Approved Parole Date,,,
APEL,Accreditation of Prior Experiential Learning,,DfE,
APHA,Animal and Plant Health Agency,An arms length body of Defra,Defra,
API,Application Programming Interface,,Not Limited to CS,Digital
APL,Accreditation of prior learning,,DfE,
APP,Assessing Pupils Progress,"Assessing pupils' progress (APP) was a national approach to assessment that equipped teachers to make judgements on pupils' progress. The ""Assessing pupils' progress"" initiative Survey evaluated the impact of the 'Assessing pupils' progress' initiative on improving outcomes for their pupils. The ""Assessing pupils"" progress' survey also examined the extent to which assessment was used effectively to support learning and to ensure that the curriculum met pupils' needs.Source: {GOV.UK|https://www.gov.uk/government/publications/the-impact-of-the-assessing-pupils-progress-initiative} accessed 2018-08-22",DfE,
APPG,All Party Parliamentary Group,"APPGs are informal cross-party groups that have no official status within Parliament. They are run by and for Members of the Commons and Lords, though many choose to involve individuals and organisations from outside Parliament in their administration and activities.",Not Limited to CS,
APS,Assistant Private Secretary,A role in a Private Office. ,DLUHC,
APS (IT),Application Planning Systems,,DfE,
APS (places),Assisted places scheme,"Scheme to assist academically able children whose families could not otherwise afford the tuition, fees to attend one of the independent secondary, schools in the scheme. Began September 1981, phased ending from 1998.",DfE,
APS (population),Annual Population Survey,,ONS,
APU (departmental organisational unit),Assessment of Performance Unit,"The Assessment of Performance Unit (APU) was set up in 1975 within the Department of Education and Science (DES) to promote the development of methods of assessing and monitoring the achievement of students at school, and to seek to identify the incidence of under achievement. The APU commissioned research teams to create instruments and methods of assessment and to conduct surveys in five curriculum areas: language, science, mathematics, foreign languages and design and technology. Between 1978 and 1988 surveys were carried out in these areas using samples of children aged 11, 13 (science and foreign language only), in England, Wales and Northern Ireland.",DfE,
APVS,Assisted Prison Visit Scheme,Also known as HWPV (Help With Prison Visits),,
APVU,Assisted Prison Visits Unit,A call centre for prison visits for 8 prisons in the west midlands.,,
APW,Action Planning Workshop,"Groups set up to look at specific topics, similar to working groups",Civil Service Wide,
AQA,Assessment and Qualifications Alliance,Source: The Knowledge accessed 2019-06-03,DfE,
AR,Annual Report,,Civil Service Wide,
ARA,Annual Report and Accounts,,DfE,
ARAC,Audit & Risk Assurance Committee,,Defra,Major Projects & Digital Delivery 
ARB,Architecture Review Board,,DfE,
ARC,Audit and Risk Committee,,Civil Service Wide,
ARD,Automatic Release Date,,,
ARDD (departmental organisational unit),Academies and Regional Delivery Division,Year(s) active (where known): 2018,DfE,
ARNOLD,Automated Robot Negating Onerous Logging of Data,ARNOLD is the Ministerial and Public Communications Division Artificial Intelligence (AI) robot to speed up correspondence logging in Iris. 2018-,DfE,
AS (analytical),Analytical Services,"Source: Department for Education and Employment and Office for Standards in Education., (1998). Departmental Report: The Government's Expenditure Plans for 1998-99 Cm 3910. London: The Stationery Office [ISBN 0101391021]",DfE,
AS (apprenticeship),Apprenticeship Service,A digital interface managing apprenticeship levy payments. Part of ESFA but delivering on behalf of FE policy Director.,DfE,
AS (civil service grade),Assistant Statisticians,,DfE,
AS (examinations),AS levels,"AS (Advanced Subsidiary) level qualifications can be studied either as a free standing qualification, or they can be the first half of the full A level. At the end of the AS year, there are two options (depending on the preference of the school or college): take the AS level as the final qualification or continue to the second year and go for the full A level.Source: Directgov website as at 2012-05-08",DfE,
ASB (actual),Actual Schools Budget,Source: The Knowledge accessed 2019-06-04,DfE,
ASB (aggregated),Aggregated Schools Budget,Source: The Knowledge accessed 2019-06-04,DfE,
ASBO,Anti-social behaviour orders,,DfE,
ASC,Adult Social Care,,DHSC,
ASC (schools),Annual Schools Census,"Every school is required to supply information to the Department for Education each January through the Annual Schools Census (ASC), formerly known as Form 7"".",DfE,
ASC (skills),Adult Skills College,,DfE,
ASCEL,Association of Senior Childrens and Education Librarians,We are the national network of senior managers in Children's Public and Schools Library Services. Our aim is to lead excellence in library services for children and young people and schools so that: every child and young person visiting a public library should be inspired by an exciting environment which makes reading for pleasure irresistible every school has access to a high quality school library service.Source: {ASCEL website|https://www.ascel.org.uk/about-us} accessed 2019-06-04,DfE,
ASCL,Association of School and College Leaders,,DfE,
ASD,Application Support Document (IT),,DfE,
ASE,Association for Science Education,"The Association for Science Education (ASE) is the professional association for teachers of science. It was formed in 1963 by the merger of the Science Master's Association and the Association of Women Science Teachers. ASE can trace its origins back to 1900 with a letter written by four science masters from Eton College proposing a conference for Science Masters in Public Schools. Membership of the Association is now of the order of 15,000, with a broad spread of membership from primary and secondary teachers, to technicians, those involved in Initial Teacher Education, and also includes some 2500 student members. The Annual Conference now attracts in excess of 3500 people and ASE has an enviable reputation worldwide.",DfE,
ASELA,Association of South Essex Local Authorities,,DLUHC,
ASF,Adoption support fund,,DfE,
